"","cross_LGAa_1","cross_LGAb_1","vis_LGA_1","snow_LGA_1","TS_LGA_1","rain_LGA_1","status_LGA","A_LGA","AirDelay_LGA"
"235",7.87846202409766,7.51754096628727,10,"FALSE","FALSE","FALSE",0,35,2.19
"236",7.87846202409766,7.51754096628727,10,"FALSE","FALSE","FALSE",0,38,2.79
"237",7.87846202409766,7.51754096628727,10,"FALSE","FALSE","FALSE",0,37,7.11
"238",7.87846202409766,1.38918542133544,10,"FALSE","FALSE","FALSE",0,31,9.65
"239",7.87846202409766,1.38918542133544,10,"FALSE","FALSE","FALSE",0,40,5.8
"240",7.87846202409766,1.38918542133544,10,"FALSE","FALSE","FALSE",0,39,6.88
"241",3.2139380484327,4.33012701892219,5,"FALSE","FALSE","FALSE",0,44,8.16
"242",3.2139380484327,4.33012701892219,5,"FALSE","FALSE","FALSE",0,29,4.58
"243",3.2139380484327,4.33012701892219,5,"FALSE","FALSE","FALSE",0,38,3.21
"244",3.2139380484327,3.83022221559489,10,"FALSE","FALSE","FALSE",0,37,5.37
"245",3.2139380484327,3.83022221559489,10,"FALSE","FALSE","FALSE",0,38,3.08
"246",3.2139380484327,3.83022221559489,10,"FALSE","FALSE","FALSE",0,38,5.26
"247",3.2139380484327,7.87846202409766,10,"FALSE","FALSE","FALSE",0,35,0.21
"248",3.2139380484327,7.87846202409766,10,"FALSE","FALSE","FALSE",0,38,0.08
"249",3.2139380484327,7.87846202409766,10,"FALSE","FALSE","FALSE",0,37,2.42
"250",3.2139380484327,3.83022221559489,10,"FALSE","FALSE","FALSE",0,31,0.84
"251",3.2139380484327,3.83022221559489,10,"FALSE","FALSE","FALSE",0,41,8.45
"252",3.2139380484327,3.83022221559489,10,"FALSE","FALSE","FALSE",0,39,-10.44
"253",11.2583302491977,9.19253331742774,10,"FALSE","FALSE","FALSE",0,44,5.52
"254",11.2583302491977,9.19253331742774,10,"FALSE","FALSE","FALSE",0,29,-27.69
"255",11.2583302491977,9.19253331742774,10,"FALSE","FALSE","FALSE",0,38,-65.28
"256",7.71345131623847,9.19253331742774,10,"FALSE","FALSE","FALSE",0,37,3.53
"257",7.71345131623847,9.19253331742774,10,"FALSE","FALSE","FALSE",0,38,14.39
"258",7.71345131623847,9.19253331742774,10,"FALSE","FALSE","FALSE",1,38,6.92
"259",22.6505783192808,9.19253331742774,10,"FALSE","FALSE","FALSE",1,35,2.73
